ScripNo,underlyingScripNo,Instrument,symbol,tradeSymbol,MLot,expiryDate,StrikePrice,OptType
35249,13725,OPTSTK,DCBBANK,DCBBANK17FEB160CE,4500,2017-02-23,160,CE
35250,13725,OPTSTK,DCBBANK,DCBBANK17FEB160PE,4500,2017-02-23,160,PE
35251,842,OPTSTK,DHFL,DHFL17FEB360CE,3000,2017-02-23,360,CE
35252,26028,OPTIDX,S&P500,S&P50017JUN2200CE,250,2017-06-16,2200,CE
35253,26028,OPTIDX,S&P500,S&P50017JUN2200PE,250,2017-06-16,2200,PE
35254,26028,OPTIDX,S&P500,S&P50017FEB2385CE,250,2017-02-17,2385,CE
35255,26028,OPTIDX,S&P500,S&P50017FEB2385PE,250,2017-02-17,2385,PE
35256,842,OPTSTK,DHFL,DHFL17FEB360PE,3000,2017-02-23,360,PE
35257,14537,OPTSTK,DISHTV,DISHTV17FEB125CE,7000,2017-02-23,125,CE
35258,14537,OPTSTK,DISHTV,DISHTV17FEB125PE,7000,2017-02-23,125,PE
35259,14537,OPTSTK,DISHTV,DISHTV17FEB127.5CE,7000,2017-02-23,127,CE
35260,14537,OPTSTK,DISHTV,DISHTV17FEB127.5PE,7000,2017-02-23,127,PE
35261,10940,OPTSTK,DIVISLAB,DIVISLAB17FEB1560CE,600,2017-02-23,1560,CE
35262,10940,OPTSTK,DIVISLAB,DIVISLAB17FEB1560PE,600,2017-02-23,1560,PE
35263,14732,OPTSTK,DLF,DLF17FEB50CE,5000,2017-02-23,50,CE
35264,14732,OPTSTK,DLF,DLF17FEB50PE,5000,2017-02-23,50,PE
35265,881,OPTSTK,DRREDDY,DRREDDY17FEB4150CE,200,2017-02-23,4150,CE
35266,881,OPTSTK,DRREDDY,DRREDDY17FEB4150PE,200,2017-02-23,4150,PE
35267,26028,OPTIDX,S&P500,S&P50017FEB2395CE,250,2017-02-17,2395,CE
35268,26028,OPTIDX,S&P500,S&P50017FEB2395PE,250,2017-02-17,2395,PE
35269,25,OPTSTK,ADANIENT,ADANIENT17FEB105CE,8000,2017-02-23,105,CE
35270,25,OPTSTK,ADANIENT,ADANIENT17FEB105PE,8000,2017-02-23,105,PE
35271,25,OPTSTK,ADANIENT,ADANIENT17FEB107.5CE,8000,2017-02-23,107,CE
35272,25,OPTSTK,ADANIENT,ADANIENT17FEB107.5PE,8000,2017-02-23,107,PE
35273,25,OPTSTK,ADANIENT,ADANIENT17MAR105CE,8000,2017-03-30,105,CE
35274,25,OPTSTK,ADANIENT,ADANIENT17MAR105PE,8000,2017-03-30,105,PE
